condition,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,family,method,evaluation_mode
CLEAN,dice,40,0.3499471889177802,0.22080963028209388,0.3007517087388488,0.17647712509760152,0.4478457244284087,0.283445245708239,0.41870259365380447,imperfect_guidance,EIA_LINEAR,
CLEAN,iou,40,0.23686487333057515,0.19204394023398955,0.17699148623310335,0.0967802402944925,0.2885379077124074,0.18150805059682887,0.29821411941429854,imperfect_guidance,EIA_LINEAR,
CLEAN,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.33777557195282537,0.44116704901199855,imperfect_guidance,PCC,
CLEAN,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.21303796607910838,0.30498432247819063,imperfect_guidance,PCC,
FP_25,dice,40,0.5321714773128392,0.22672109091634038,0.5687169507604775,0.3541206453641199,0.6955307618909914,0.4624885265478885,0.6011130755376078,imperfect_guidance,EIA_BLEND_075,
FP_25,iou,40,0.3948008652640488,0.2163624788182795,0.39737126078895646,0.2151559199331482,0.533261630447719,0.3297092260810517,0.46139002054243383,imperfect_guidance,EIA_BLEND_075,
FP_25,dice,40,0.34309896255448863,0.22214310734090809,0.29904082711153523,0.17631054361618587,0.4358209124464738,0.27754044403490585,0.4141264152107677,imperfect_guidance,EIA_LINEAR,
FP_25,iou,40,0.23189511379842215,0.1920312630156764,0.17581005544755102,0.09668056622118452,0.2786344735889638,0.17631276126796086,0.2950409703956462,imperfect_guidance,EIA_LINEAR,
FP_25,dice,40,0.3841702119706099,0.1739224612510571,0.3753987679435118,0.2585386907252648,0.49127557635214103,0.3319375502138544,0.4383980708580736,imperfect_guidance,PCC,
FP_25,iou,40,0.2532512630755264,0.14962663784474817,0.23107139879256774,0.1484611275296859,0.32566209041826655,0.20984102479422712,0.3006085550204265,imperfect_guidance,PCC,
MIXED,dice,40,0.4542130217982523,0.19538327714478443,0.4580160374557344,0.3103316628909458,0.5976367142359951,0.39398834173764846,0.5150145538024025,imperfect_guidance,EIA_BLEND_075,
MIXED,iou,40,0.3151317003042521,0.17156418995532752,0.2977681697460635,0.18373296873537104,0.42628384526278285,0.26409785996688445,0.3692367718088552,imperfect_guidance,EIA_BLEND_075,
MIXED,dice,40,0.32496917742915843,0.2024559676228497,0.29225947398459073,0.16803709964739422,0.4254093094659135,0.26452462365747104,0.3879531851758998,imperfect_guidance,EIA_LINEAR,
MIXED,iou,40,0.213251160326495,0.16460067578799256,0.17115056273010426,0.091727496757905,0.2702007750210539,0.16652070047281675,0.2668951729675018,imperfect_guidance,EIA_LINEAR,
MIXED,dice,40,0.33275475996139303,0.1674463657291604,0.333740220675845,0.19975677037094075,0.45459091002382845,0.28410097761481223,0.3857280780972624,imperfect_guidance,PCC,
MIXED,iou,40,0.21278610422739863,0.13614557391592777,0.20032464113253456,0.11100613417695741,0.2941907482668774,0.1727776597439624,0.2568853259400087,imperfect_guidance,PCC,
PARTIAL_25,dice,40,0.4596381955482844,0.20176724884576108,0.47538130851670213,0.2844183898992246,0.6091091473636229,0.3981501541332404,0.5202250510167991,imperfect_guidance,EIA_BLEND_075,
PARTIAL_25,iou,40,0.3205491707452868,0.17485374496386863,0.3119333692689983,0.1658187825172187,0.43793474368446916,0.2678661330566848,0.3739205471453674,imperfect_guidance,EIA_BLEND_075,
