case_id,condition,method,repeats,mean_dice,worst_dice,best_dice,mean_iou,worst_iou,best_iou
PatientID_0037_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.3480478302600531,0.3461742308105363,0.3503863427243384,0.21068963203673494,0.209317231156232,0.2124050932713461
PatientID_0037_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.3347978093391522,0.3344584228383713,0.3351557923605239,0.2010553770611462,0.2008106116567158,0.2013136069031162
PatientID_0037_T1_to_T2_t1c,SHIFT_3,PCC,6,0.36798794946347196,0.3645568914144808,0.3708053223329688,0.22548326461413917,0.2229101639253115,0.2276003766933036
PatientID_0038_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.28767843727859355,0.2875657400584605,0.2877160030186379,0.16800491558789682,0.1679280465247794,0.1680305390586421
PatientID_0038_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.280398196857994,0.2803531179699408,0.2804658151900739,0.16305995821791855,0.1630294689655716,0.163105693206556
PatientID_0038_T1_to_T2_t1c,FP_25,PCC,5,0.3359729526796399,0.3359128474955689,0.3360631104557464,0.2019035420841692,0.2018601291434859,0.2019686639454109
PatientID_0038_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.2683909341484775,0.2645379414112596,0.2707738542586256,0.1549965618094643,0.1524308411803015,0.1565867222984752
PatientID_0038_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.2672639619471463,0.2650262960318365,0.2686326070760963,0.15424436542728828,0.1527552235757766,0.1551563279924677
PatientID_0038_T1_to_T2_t1c,MIXED,PCC,30,0.2945554720893835,0.2881667918991704,0.2981592787509737,0.1727191941229475,0.1683381246205021,0.1751981105186147
PatientID_0038_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.2626972201490853,0.2626972201490853,0.2626972201490853,0.1512098082221288,0.1512098082221288,0.1512098082221288
PatientID_0038_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.2664162284134783,0.2664162284134783,0.2664162284134783,0.1536794660840409,0.1536794660840409,0.1536794660840409
PatientID_0038_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.2833208114334463,0.2833208114334463,0.2833208114334463,0.1650400455344864,0.1650400455344864,0.1650400455344864
