relative_path,file_name,file_type,size_bytes,sha256,category,large_artifact,source
01_mechanism_ablation/cases/PatientID_0060_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3592,d98d2eed4005bfa66d4c5d3dddd687836bdadeec269bc362bea5bd0b1fc51853,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0062_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,6832bc42cc95b306e40dc4c85b7026569e6697507d5a0440e719c873d8ae8adb,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0062_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3610,756aecd005c9761fa5c7b2ae5be818e6ebef99877689fe12d59aceca034e4e25,01_mechanism_ablation,False,local_or_small_kaggle_output
02_shuffled_target/FAILED_CASES.csv,FAILED_CASES.csv,.csv,22,3d6ce271b3f8fa5a77aadc94b91584b4f3a86c32da43e645d6a6d0ca91a4f2f1,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/SHUFFLED_TARGET_CASE_METRICS.csv,SHUFFLED_TARGET_CASE_METRICS.csv,.csv,16015,ec4d5a886848abc2f06223a952ad780fd065276190cefe3abe3d0c276118318f,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/SHUFFLED_TARGET_DONOR_MAP.csv,SHUFFLED_TARGET_DONOR_MAP.csv,.csv,4055,7fc4a4cab837b1eff9db515a428d2c4fbf455076b5abd31a2433d992563e5e1b,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/SHUFFLED_TARGET_DONOR_MAP.sha256,SHUFFLED_TARGET_DONOR_MAP.sha256,.sha256,96,7392f4485f8168a578fbfde3ad08536ca290fb45db0f7f5b68b0828058ee0256,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0003_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,105,89a70a75c5862434977982399c4adea1cfa091b57c8b6e79e8fc9107cb9ed466,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0003_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,699,ec705f9c39845e50c2989a06484ba1e2f5cdb9f6c23e19624e8b6700e9067fd1,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0005_T3_to_T4_t1c/COMPLETE.json,COMPLETE.json,.json,105,0bab4bba6271a599d934a3a797f33575a931d9279bc10978565015bbe09b5334,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0005_T3_to_T4_t1c/metrics.csv,metrics.csv,.csv,703,0fe75ee37bbaca67ae2bd96dec9e3ad54157889cab28dbb2e6b87fee153de592,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0006_T2_to_T4_t1c/COMPLETE.json,COMPLETE.json,.json,105,731d1ba3ce0211f1392aa93bbb189f03679c98d1b5adc9e493ae28c8d92c3386,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0006_T2_to_T4_t1c/metrics.csv,metrics.csv,.csv,696,5e34f0f7585d90e33a26fda09af0be1d75e24148f1dfa2861c92158893503e1c,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0007_T2_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,105,2451c9954b4948af5b8d2dfaf430033c78dc2e691046442d4276aecafc23241b,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0007_T2_to_T3_t1c/metrics.csv,metrics.csv,.csv,695,759649b01f728b6686aaee9ef24ef0a020adf8ef40301ad2ea9047b253f3c382,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0008_T4_to_T6_t1c/COMPLETE.json,COMPLETE.json,.json,105,42604e820a2e8c5cf33b026b74ed42d8ab4d98b165d9790025a33f4e6343ffa1,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0008_T4_to_T6_t1c/metrics.csv,metrics.csv,.csv,708,f2353080bc61c970645cad6ecd0bb9c013539f70af3be140f75179444757997e,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0010_T1_to_T4_t1c/COMPLETE.json,COMPLETE.json,.json,105,dd4812d89f708817ef8ade0aff444b19b7faf246538514fb0fe5050884257d72,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0010_T1_to_T4_t1c/metrics.csv,metrics.csv,.csv,697,58730307dcccd9c8f2b0d2b29991f89cc42913c6ede6e2e45d76edb870d6c7f7,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0011_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,105,29eb46895adb4737fbbe200bcb853b2b1096c74b2aec9de18dc8716fed1429b6,02_shuffled_target,False,local_or_small_kaggle_output
02_shuffled_target/cases/PatientID_0011_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,697,587bc31410797c27ae3f404a640e0ec83d12761df239a86a90a89939e8de491b,02_shuffled_target,False,local_or_small_kaggle_output
